,T1_Sharpe,T1_CVaR,T1_Volatilité,T2_Sharpe,T2_CVaR,T2_Volatilité,T3_Sharpe,T3_CVaR,T3_Volatilité
Ref_60_40,0.7083581813089167,-0.009800385739852157,0.06769292402471579,0.4036754079102836,-0.011370899786178442,0.07124857986675488,-1.5723553123442533,-0.01615925421316794,0.10591272187103153
Bitcoin_10,1.0078142664860135,-0.011855546683991493,0.08449767107160301,1.4578282206287634,-0.01252329889019812,0.08998603170864589,-1.3918159051151024,-0.01584683837144048,0.11653126799798431
Ethereum_10,0.5488716156829666,-0.013328229127627069,0.09079895766965401,1.056343334393232,-0.01407843825674664,0.10544891582771505,-2.091004548378459,-0.01911588002928452,0.13568889816682678
BNB_10,1.1330645512107196,-0.011380773327846793,0.08444572388222273,0.731342101660902,-0.013066197008631542,0.0860404900802029,-1.6426690279127045,-0.0156990234928884,0.10806663735661239
UNI_10,0.24306924666031646,-0.014967046705750962,0.09340557055553166,1.4816251889178202,-0.012330500561794999,0.08964303611954541,-1.8628381582442777,-0.01633844941196436,0.11408503181839834
USDT_10,0.6221667077109391,-0.0088400520605259,0.061000559505418064,0.3290149585100036,-0.01024872680892812,0.06430498471449084,-1.6205465936320318,-0.01455535189447164,0.09550487156182358
BTC_USDT_5_5,0.8733956605518391,-0.010180378671209163,0.07047806694449871,1.0103406100689334,-0.011151963668846219,0.07539114871107053,-1.5221414169470908,-0.014723782374493321,0.10411653050060134
