,Sharpe
Bitcoin_Ref_60_40,0.06804457528897355
Bitcoin_Crypto_5,0.32903463798640814
Bitcoin_Crypto_10,0.5301394025947271
Bitcoin_Crypto_15,0.6707390594782549
Ethereum_Ref_60_40,0.06804457528897355
Ethereum_Crypto_5,0.03451565753208851
Ethereum_Crypto_10,0.007631516843221463
Ethereum_Crypto_15,-0.011590466951330019
BNB_Ref_60_40,0.06804457528897355
BNB_Crypto_5,0.2791543771897851
BNB_Crypto_10,0.4430511894055205
BNB_Crypto_15,0.5541953874049921
UNI_Ref_60_40,0.06804457528897355
UNI_Crypto_5,0.03627811909140254
UNI_Crypto_10,0.008477811022153519
UNI_Crypto_15,-0.011971183102240166
USDT_Ref_60_40,0.06804457528897355
USDT_Crypto_5,0.033317880970849555
USDT_Crypto_10,-0.005201246442835678
USDT_Crypto_15,-0.04816686556486411
