Date,Ref_60_40,Bitcoin_10,Ethereum_10,BNB_10,UNI_10,USDT_10,BTC_USDT_5_5
2025-02-01,0.0,-0.0017080384621634,-0.0054554899615046,-0.0035345902791806,-0.0019417482586242,7.201890329278094e-06,-0.000850418285917
2025-02-02,0.0,-0.0029475962196704,-0.0080054341009564,-0.0054836960557527,-0.0029702980995853,-8.304230770095345e-06,-0.0014779502252202
2025-02-03,-0.0042804521404301,-4.8041845213181965e-05,-0.0032990615523728,-0.0039301041245344,0.000229227241875,-0.0037313764182863,-0.0018897091317497
2025-02-04,0.0053264104939429,0.0013091416039823,-0.0003895179944546,-0.0023025672144672,0.001362399238322,0.0047045635166355,0.0030068525603089
2025-02-05,0.0046673012792783,0.0029168768295442,0.0061284247089974,0.0035759838745137,0.0026777243121598,0.004197972799254,0.0035574248143991
2025-02-06,0.0017162535416722,0.00152170386373,-0.0020201512282328,0.001988186669574,0.0015446281875049,0.0015484304620756,0.0015350671629028
2025-02-07,-0.0070057298876945,-0.0063716324614924,-0.0087672040506338,-0.0052929171046729,-0.0063051568989251,-0.0062916527820168,-0.0063316426217546
2025-02-08,0.0,-4.830959709924e-05,0.0003850631116,0.0060991884001842,0.0,-6.804774592139573e-06,-2.7557185845689787e-05
2025-02-09,0.0,1.828376500454e-05,-0.0001362742401989,0.0005409652826872,0.0,-4.3024357268550695e-06,6.990664638842466e-06
2025-02-10,0.0039416342997956,0.0045189320374379,0.0047817423759268,0.0038186856220931,0.0045783990915314,0.0035415711542538,0.0040302515958459
2025-02-11,-0.000827155909458,-0.0024790127894865,-0.002938393991947,0.0031811938947247,-0.0022750494194101,-0.0007719322312532,-0.0016254725103699
2025-02-12,-0.0043906044953498,-0.0017181371601371,0.0012014083756054,0.0046776453179385,-0.0018790044824821,-0.0039314365838599,-0.0028247868719985
2025-02-13,0.0092479885857972,0.0070339410088042,0.0060944102715162,0.0040598323996658,0.0068003428880268,0.0083331907761952,0.0076835658924997
2025-02-14,0.0016354969305052,0.0023879751177944,0.0033475373680847,-5.943550511706888e-05,0.00250287545917,0.0014642475573966,0.0019261113375955
2025-02-15,0.0,7.320640697474e-05,-0.0011933472391497,0.0006510294083683,0.0,6.996997251151882e-06,4.010170211294594e-05
2025-02-16,0.0,-0.001440167298024,-0.0011228225310643,0.001777538877529,-0.0015306091008979,-6.901154960126111e-06,-0.000723534226492
2025-02-17,0.0,-0.000417622362353,0.0029994109419593,-0.0010193972222111,-0.000518131120859,-1.519789265425e-05,-0.0002164101275036
2025-02-18,-0.0006761574927097,-0.0008526971973166,-0.0033010485869775,-0.0035738960132117,-0.0006085417434388,-0.0006639479727322,-0.0007583225850244
2025-02-19,0.0020725966944456,0.003012571375436,0.0036047987875,0.0028030793015636,0.0029069964283129,0.0019203743705357,0.0024664728729859
2025-02-20,-0.0017830441180004,0.0001527160970838,-0.0006983496405052,-0.0010406698783231,0.0004571167372303,-0.0015644381448948,-0.0007058610239055
2025-02-21,-0.0078769488208162,-0.0093350611149193,-0.0100352237053807,-0.0086567276359374,-0.009614503717262,-0.0071702297671817,-0.0082526454410505
2025-02-22,0.0,0.000470437830734,0.0039243345090012,0.003350633401775,0.0005181311209108,6.973500697349e-05,0.0002700864188537
2025-02-23,0.0,-0.0003146023933273,0.0020723733255699,-0.0015960939677443,0.0,-1.039277416156e-05,-0.0001624975837444
2025-02-24,-0.002127718997556,-0.0069586286113723,-0.0119355223880038,-0.0085938386632697,-0.0070695807052946,-0.0019514447836779,-0.0044550366975251
2025-02-25,0.0003441126863496,-0.0026240697844345,-0.0004950001676223,0.0017719691793689,-0.0029511691790581,0.0002334778248522,-0.0011952959797911
2025-02-26,0.0011803757401106,-0.0038839518808531,-0.0054399227555693,-0.0009037783219937,-0.0039938391750029,0.0011833686742003,-0.0013502916033264
2025-02-27,-0.0099823354885763,-0.0085606096688092,-0.0100979251977925,-0.00989608168705,-0.0083923900903484,-0.0090997601153885,-0.0088301848920988
2025-02-28,0.0117065971848049,0.010144907687243,0.0076047052144251,0.0076155330342015,0.0105359374663244,0.0105908953624662,0.0103679015248546
2025-03-01,0.0,0.0019661575342751,-0.0009500832382402,0.0034147386020311,0.0017647022065806,-8.002712573673687e-06,0.0009790774108507
2025-03-02,0.0,0.0094935319941247,0.0124458124651006,0.0025389741003865,0.0092485584140594,6.76408572247e-05,0.0047805864256747
2025-03-03,-0.009106127027739,-0.0148239167807255,-0.0182160896151685,-0.0154623128431852,-0.0166611257237048,-0.0082886051390473,-0.0115562609598864
2025-03-04,-0.0085989038112711,-0.0063952448725945,-0.0065998701333567,-0.006275642536795,-0.0065829436283721,-0.0076905754188083,-0.0070429101457014
2025-03-05,0.0044661034749693,0.0079191509786805,0.0073356984840828,0.0064851033406118,0.0080194987819275,0.0040460972860923,0.0059826241323864
2025-03-06,-0.0109028638685099,-0.0105428907900769,-0.0115744369068511,-0.0100219630675527,-0.0103620322046186,-0.0097923703749089,-0.0101676305824929
2025-03-07,0.0028044691699529,-0.0010542268653089,-0.0003586077761566,0.0020614336675401,-0.0013433784412784,0.0024652248966812,0.0007054990156861
2025-03-08,0.0,-0.000677957125701,0.0029230046295678,-0.000148579416772,-0.0005747170175237,1.6112297105510002e-05,-0.0003309224142977
2025-03-09,0.0,-0.0064460343271016,-0.0084487954713261,-0.0064915982104421,-0.0063583797038781,1.3951406891976603e-06,-0.0032223195932062
2025-03-10,-0.0133869425774546,-0.014615261210071,-0.0197067492836998,-0.0160978965462705,-0.0145173850093906,-0.012053548587954,-0.0133344048990125
