Date,S&P500,Obligations,Bitcoin,Ethereum,BNB,UNI,USDT
2024-01-01,,,44167.33203125,2352.327880859375,314.4082946777344,0.0002209999947808683,1.0003679990768433
2024-01-02,4742.830078125,91.53819274902344,44957.96875,2355.83642578125,312.10382080078125,0.00022499999613501132,1.0005069971084595
2024-01-03,4704.81005859375,91.7574234008789,42848.17578125,2210.761962890625,316.6612854003906,0.00021399999968707561,1.0006569623947144
2024-01-04,4688.68017578125,91.20454406738281,44179.921875,2269.0380859375,323.6000061035156,0.0002209999947808683,1.0010319948196411
2024-01-05,4697.240234375,90.87092590332031,44162.69140625,2268.647216796875,317.4502868652344,0.0002209999947808683,1.000877022743225
2024-01-06,,,43989.1953125,2241.624755859375,307.79449462890625,0.00022000000171829015,1.0005919933319092
2024-01-07,,,43943.09765625,2222.865966796875,302.8905334472656,0.00022000000171829015,1.0006070137023926
2024-01-08,4763.5400390625,91.17596435546875,46970.50390625,2333.03271484375,304.5003967285156,0.00023499999952036887,1.0005990266799927
2024-01-09,4756.5,91.13782501220703,46139.73046875,2344.8271484375,300.9761047363281,0.00018899999849963933,1.0001660585403442
2024-01-10,4783.4501953125,90.99485778808594,46627.77734375,2582.103515625,305.0968322753906,0.00019099999917671084,1.000223994255066
2024-01-11,4780.240234375,91.4809799194336,46368.5859375,2619.619140625,308.7015075683594,0.0001900000061141327,1.0002470016479492
2024-01-12,4783.830078125,91.72883605957031,42853.16796875,2524.460205078125,296.6304626464844,0.00017600000137463212,0.999908983707428
2024-01-13,,,42842.3828125,2576.597900390625,302.227294921875,0.00017600000137463212,0.9999759793281555
2024-01-14,,,41796.26953125,2472.2412109375,299.05133056640625,0.00017100000695791095,0.9994900226593018
2024-01-15,,,42511.96875,2511.36376953125,317.5672607421875,0.0001740000006975606,0.9997230172157288
2024-01-16,4765.97998046875,90.98532104492188,43154.9453125,2587.691162109375,315.22625732421875,0.00017699999443721026,0.9998689889907837
2024-01-17,4739.2099609375,90.68981170654297,42742.65234375,2528.369384765625,309.08538818359375,0.00017499999376013875,0.9991880059242249
2024-01-18,4780.93994140625,90.4896469116211,41262.05859375,2467.018798828125,313.2928771972656,0.00016900000628083944,0.9992049932479858
2024-01-19,4839.81005859375,90.49917602539062,41618.40625,2489.49853515625,314.3004455566406,0.00017100000695791095,0.9991859793663025
2024-01-20,,,41665.5859375,2469.589111328125,316.96038818359375,0.00017100000695791095,0.9993109703063965
2024-01-21,,,41545.78515625,2453.9130859375,318.3186950683594,0.00016999999934341758,0.999439001083374
2024-01-22,4850.43017578125,90.77560424804688,39507.3671875,2310.826416015625,305.43701171875,0.00016199999663513154,0.9988530278205872
2024-01-23,4864.60009765625,90.54682159423828,39845.55078125,2240.68603515625,298.4039001464844,0.0001630000042496249,0.9992470145225525
2024-01-24,4868.5498046875,90.28945922851562,40077.07421875,2233.561767578125,293.0914306640625,0.00016399999731220305,0.999737024307251
2024-01-25,4894.16015625,90.6802749633789,39933.80859375,2217.710205078125,291.9192810058594,0.00016399999731220305,0.9997169971466064
2024-01-26,4890.97021484375,90.51824188232422,41816.87109375,2267.19970703125,302.3179931640625,0.00017100000695791095,0.9999859929084778
2024-01-27,,,42120.0546875,2267.885986328125,305.8248291015625,0.00017299999308306724,1.000046968460083
2024-01-28,,,42035.59375,2257.208740234375,304.9756164550781,0.0001720000000204891,1.0000009536743164
2024-01-29,4927.93017578125,91.06156921386719,43288.24609375,2317.064208984375,310.7080078125,0.00017699999443721026,1.0001250505447388
2024-01-30,4924.97021484375,91.18549346923828,42952.609375,2344.49365234375,307.4627380371094,0.00017600000137463212,1.0000280141830444
2024-01-31,4845.64990234375,91.94808197021484,42582.60546875,2282.54443359375,300.35107421875,0.00017499999376013875,1.0000280141830444
2024-02-01,4906.18994140625,92.51758575439453,43075.7734375,2303.82470703125,300.1759033203125,0.00017699999443721026,0.9999330043792725
2024-02-02,4958.60986328125,91.3135757446289,43185.859375,2308.0380859375,301.15496826171875,0.00017699999443721026,0.9997140169143677
2024-02-03,,,42992.25,2296.038330078125,299.7367248535156,0.00017600000137463212,0.999809980392456
2024-02-04,,,42583.58203125,2289.546142578125,304.7341613769531,0.00017499999376013875,0.9997199773788452
2024-02-05,4942.81005859375,90.42489624023438,42658.66796875,2298.888916015625,300.8540344238281,0.00017499999376013875,0.9987949728965759
2024-02-06,4954.22998046875,90.91223907470703,43084.671875,2372.201904296875,302.71014404296875,0.00017699999443721026,0.9999819993972778
2024-02-07,4995.06005859375,90.74980926513672,44318.22265625,2423.7451171875,307.63458251953125,0.00018200000340584666,0.9998239874839783
2024-02-08,4997.91015625,90.45356750488281,45301.56640625,2419.906494140625,318.87188720703125,0.00018600000475998968,1.000195026397705
2024-02-09,5026.60986328125,90.29112243652344,47147.19921875,2487.515625,323.84228515625,0.00019299999985378236,1.0004899501800537
2024-02-10,,,47771.27734375,2501.228271484375,323.1338806152344,0.000195999993593432,1.0003180503845215
2024-02-11,,,48293.91796875,2507.570556640625,320.78753662109375,0.00019799999427050352,1.0002789497375488
2024-02-12,5021.83984375,90.37712860107422,49958.22265625,2658.115966796875,327.9446105957031,0.00020500000391621143,1.0002789497375488
2024-02-13,4953.169921875,89.38333892822266,49742.44140625,2642.185302734375,324.86822509765625,0.00020399999630171806,1.0005919933319092
2024-02-14,5000.6201171875,89.71780395507812,51826.6953125,2777.90234375,334.2459716796875,0.00021300000662449747,1.000931978225708
2024-02-15,5029.72998046875,89.96623229980469,51938.5546875,2824.37890625,354.7108154296875,0.00021300000662449747,1.0009440183639526
